MCDB310 Chapter 8 Problem 1,https://docs.google.com/document/d/1abpHKeFbXAQedJ_yO_4e_sbqI89aDmc2m7Qa-EvgLCs/pub,2,5
MCDB310 Chapter 8 Problem 2,https://docs.google.com/document/d/111YpTswbnPDwqe2IczD3NX9lSY7SPBfkeu6F5lN57D4/pub,3,5
MCDB310 Chapter 8 Problem 3,https://docs.google.com/document/d/10dLSlt7Yl9Lm2X5-wWauhFKdEKUy4BrMvFQrnjrIqRg/pub,4,5
MCDB310 Chapter 8 Problem 4,https://docs.google.com/document/d/1XR7YVscB_xIBiEkQ9BY_F4IudHGHgADHXMUFMl1H-i4/pub,2,5
MCDB310 Chapter 8 Problem 5,https://docs.google.com/document/d/1goqcw4rBcn99pG175tXTqOH62yvUlbU_0gmBGj-8QDY/pub,3,5
MCDB310 Chapter 8 Problem 6,https://docs.google.com/document/d/1KPcPokucnohZa2tbQmc54asXRS4_voUggrlnuyua-SY/pub,4,5
MCDB310 Chapter 8 Problem 7,https://docs.google.com/document/d/1K8YGVm17lOY4u3HzUw5uIbTVvx4rlo4ZGIocAgpEvbo/pub,5,5
MCDB310 Chapter 8 Problem 8,https://docs.google.com/document/d/17Q9ffrHArcrfkrHS8jFyjX0uYJ___xaKlwUh-5XTJck/pub,3,5
MCDB310 Chapter 8 Problem 9,https://docs.google.com/document/d/1p-U8HBVOSZ9tI5GTDfxJpGqlcNX4X-Zda20uUZd8x5k/pub,4,5
MCDB310 Chapter 8 Problem 10,https://docs.google.com/document/d/18edgvHeu9PmWh42k76QyNphsFJd2W-7L03taoW2d5QI/pub,5,5
MCDB310 Chapter 8 Problem 11,https://docs.google.com/document/d/1wTUDpX7BbdwwN6kn9d7X3vnJot2ADn2aZ7iluNM_ZQk/pub,2,5
MCDB310 Chapter 8 Problem 12,https://docs.google.com/document/d/1aR3InV5EP_--10A2u-5br-eowar_E584iWJjrqmUhz8/pub,2,5
MCDB310 Chapter 8 Problem 13,https://docs.google.com/document/d/1BUp6OHrr4U_6B8wcC_THbGyP5dgkwFIpuQNoxVm9nDc/pub,1,5
MCDB310 Chapter 8 Problem 14,https://docs.google.com/document/d/1aAwwJ_ZCzMOROB2DRJJBKSqCfA2DqINnXEOW64cREgE/pub,4,5
MCDB310 Chapter 8 Problem 15,https://docs.google.com/document/d/1kyINPEiAc-XP414MXc6nHClDcgBrT5T8eWomFRAEfUg/pub,4,5
MCDB310 Chapter 8 Problem 16,https://docs.google.com/document/d/1jDAo4Ihyvq7OXJpLsoXuZidsuQiTKGZ77vWx07LkK-w/pub,3,5
MCDB310 Chapter 8 Problem 17,https://docs.google.com/document/d/1_mmMwmS9S1u998cXnIcPyLOu2E4p1mzBTZFF5SvL6JE/pub,2,5
MCDB310 Chapter 8 Problem 18,https://docs.google.com/document/d/1Vu_g_KVFTMkE3WGYtHcrEC76fKqz9kvP8xtbbeIR8mc/pub,4,5
MCDB310 Chapter 8 Problem 19,https://docs.google.com/document/d/1ZPArV8MMGoCpldloBTDtndU3WHvUPX7RI6VskX92alQ/pub,4,5
MCDB310 Chapter 8 Problem 20,https://docs.google.com/document/d/1vEisz4D_qYGPyCEEtZGSRcs8HTKz3ygKvORzsLlaNWs/pub,5,5
MCDB310 Chapter 8 Problem 21,https://docs.google.com/document/d/14_8xem_Bk7ReTC4_ODou3fbD_1a0osR1MEffCbnpWyY/pub,4,5
MCDB310 Chapter 8 Problem 22,https://docs.google.com/document/d/1eXjSsqKTFzAXAaEA3J2jiuyV-lKO876sqektzOIxLdk/pub,2,5
MCDB310 Chapter 8 Problem 23,https://docs.google.com/document/d/1DtVDUkEKndNxjcunxy9RbW80YfghPNtCeVskDuq565Q/pub,1,5
